index,Original Text,Extracted Laws
1,"1. 범죄사실에 대한 해당법조와 형의 선택
개인정보 보호법 제71조 제1호, 제17조 제1항 제1호(벌금형 선택)
1. 선고유예할 형
벌금 300,000원
1. 노역장유치
형법 제70조 제1항, 제69조 제2항(1일당 100,000원)
1. 선고유예
형법 제59조 제1항(피고인이 사실관계는 모두 인정하고 있는 점, 학부모들 사이의 분쟁이 커지지 않도록 원만히 중재하려는 과정에서 범행에 이르게 된 것으로 그 경위에 참작할 사정이 있는 점, 피고인이 초범인 점, 그 밖에 피고인의 나이, 환경, 성행, 범행의 동기, 수단과 결과, 범행 후의 정황 등 이 사건 변론에 나타난 양형조건을 종합하여 피고인에 대한 형의 선고를 유예하기로 한다)","보호법 71조 제1호, 형법 59조 제1항, 형법 70조 제1항"
2,"1. 범죄사실에 대한 해당법조
○ 피고인 A: 자본시장과 금융투자업에 관한 법률 제444조 제27호, 제373조, 형법        제30조(무허가 금융투자상품시장 개설의 점), 형법 제247조, 제30조(도박공간 개설의 점), 병역법 제84조 제2항, 제69조 제1항(병역법위반의 점), 각 구 주민등록법(2022. 1. 11. 법률 제18746호로 개정되기 전의 것) 제37조 제10호 본문(주민등록법위반의 점)
○ 피고인 B: 자본시장과 금융투자업에 관한 법률 제444조 제27호, 제373조, 형법        제30조
○ 피고인 C: 각 개인정보보호법 제71조 제1호, 제17조 제1항 제1호2)
1. 상상적 경합(피고인 A, 피고인 C)
형법 제40조, 제50조
1. 형의 선택
피고인 A의 병역법위반죄, 피고인 B의 자본시장과금융투자업에관한법률위반죄, 피고인 C의 개인정보보호법위반죄에 대하여 벌금형 선택, 그 외 나머지 각 죄에 대하여는 징역형 선택
1. 누범가중(피고인 B)
형법 제35조
1. 경합범가중(피고인 A, 피고인 C)
형법 제37조 전단, 제38조 제1항 제2호, 제3호, 제50조
1. 노역장유치(피고인들)
형법 제70조 제1항, 제69조 제2항
1. 가납명령(피고인들)
형사소송법 제334조 제1항","개인정보보호법 71조 제1호, 병역법 84조 제2항, 형법 247조, 형법 30조, 형법 35조, 형법 37조, 형법 40조, 형법 70조 제1항, 형사소송법 334조 제1항"
3,"1. 범죄사실에 대한 해당법조 및 형의 선택
○ 피고인 A, B: 각 개인정보 보호법 제72조 제2호, 제59조 제1호, 형법 제30조(개인정보 부정취득의 점, 개인별로 포괄하여), 각 형법 제231조, 제30조(사문서위조의 점), 각 제234조, 제231조, 제30조(위조사문서행사의 점), 각 전기통신사업법 제97조 제7호, 제30조 본문, 형법 제30조(전기통신역무의 타인 통신용 제공의 점), 각 징역형 선택
○ 피고인 C: 각 형법 제231조, 제30조(사문서위조의 점), 각 제234조, 제231조, 제30조(위조사문서행사의 점), 각 전기통신사업법 제97조 제7호, 제30조 본문, 형법 제30조(전기통신역무의 타인 통신용 제공의 점), 각 징역형 선택
1. 누범가중
○ 피고인 B: 형법 제35조
1. 경합범가중
○ 피고인들: 각 형법 제37조 전단, 제38조 제1항 제2호, 제50조
[검사는 피고인 B에 대하여 증 제2호(아이폰12 PRO)의 몰수를 구하나, 검사가 제출한 증거만으로는 피고인이 위 휴대전화를 이 사건 범죄행위에 제공하였거나 제공하려고 하였다는 점을 인정하기에 부족하고, 달리 이를 인정할 증거가 없으므로, 위 물건에 대한 몰수의 선고는 하지 않는다.]","보호법 72조 제2호, 전기통신사업법 97조 제7호, 형법 231조, 형법 30조, 형법 35조, 형법 37조"
4,"1. 범죄사실에 대한 해당법조 및 형의 선택
피고인 A: 구 동물보호법(2019. 8. 27. 법률 제16544호로 개정되기 전의 것) 제46조    제5항, 제2항 제1호, 제8조 제1항 제4호, 형법 제30조(동물보호법위반의 점), 구 부동산 실권리자명의 등기에 관한 법률(2016. 1. 6. 법률 제13713호로 개정되기 전의    것) 제7조 제2항, 제3조 제1항(부동산실권리자명의등기에관한법률위반의 점), 구 농지법(2018. 12. 24. 법률 제16073호로 개정되기 전의 것) 제59조 제1호, 제8조 제1항(부정한 방법으로 농지취득자격증명발급의  점), 구 농지법(2021. 8. 17. 법률 제18401호로 개정되기 전의 것) 제57조 제2항, 제34조 제1항(농지전용허가를 받지 아니하고 농지를 전용한 점), 각 형법 제319조 제1항(건조물침입의  점), 각 형법 제329조(절도의 점), 각 형법 제314조 제1항(업무방해의 점), 각 폭력행위 등 처벌에    관한 법률 제2조 제2항 제1호, 형법 제319조 제1항(공동주거침입의 점), 정보통신망이용촉진 및 정보보호 등에 관한 법률 제70조 제1항, 형법 제30조(정보통신망을 통한 명예훼손의 점), 형법 제321조, 제30조(건조물수색의 점), 각 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제70조 제2항(정보통신망 이용 허위사실 적시 명예훼손의  점), 형법  제331조 제2항, 제1항(합동절도의  점), 형사소송법 제266조의16    제2항, 제1항, 제266조의3 제1항(형사소송법위반의 점), 각 구 개인정보보호법(2020.    2. 4. 법률 제16930호로 개정되기 전의 것) 제71조 제2호, 제19조(개인정보 보호법위반의 점), 각 공익신고자 보호법 제30조 제1항 제2호, 제12조 제1항(공익신고자보호법위반의 점), 강 징역형 선택(건조물수색의 점, 합동절도의 점은 제외)
피고인 B: 구 동물보호법(2019. 8. 27. 법률 제16544호로 개정되기 전의 것) 제46조    제5항, 제2항 제1호, 제8조 제1항 제4호, 형법 제30조, 벌금형 선택
피고인 C: 폭력행위 등 처벌에 관한 법률 제2조 제1항 제1호, 형법 제319조 제1항(공동주거침입의 점), 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제70조 제1항, 형법 제30조(정보통신망을 통한 명예훼손의 점), 형법 제321조, 제30조(건조물수색의 점), 징역형 선택(건조물수색의 점은 제외)
1. 상상적 경합
피고인 A: 형법 제40조, 제50조(보도자료 배포를 통한 개인정보보호법위반죄와 공익신고자보호법위반죄  상호간,  범정이  더  무거운 공익신고자보호법위반죄에  정한    형으로 처벌. Q 게시물 게시를 통한 형사소송법위반죄, 개인정보보호법위반죄, 공익신고자보호법위반죄  상호간,  형과 범정이  가장 무거운 공익신고자보호법위반죄에    정한 형으로 처벌)
1. 경합범처리
피고인 C: 형법 제37조 후단, 제39조 제1항
1. 경합범가중
피고인 A, C: 각 형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
피고인 C: 형법 제62조 제1항, 소년법 제60조 제3항
1. 형의 면제
피고인 B: 공익신고자 보호법 제14조 제1항, 형법 제52조 제1항","보호법 14조 제1항, 보호법 30조 제1항 제2호, 소년법 60조 제3항, 형법 30조, 형법 314조 제1항, 형법 319조 제1항, 형법 321조, 형법 329조, 형법 331조 제2항, 형법 37조, 형법 40조, 형법 52조 제1항, 형법 62조 제1항, 형사소송법 266조"
5,"1. 범죄사실에 대한 해당법조
각 형법 제232조의2(사전자기록위작의 점), 각 형법 제234조, 제232조의2(위작사전자기록행사의 점), 형법 제355조 제1항(횡령의 점, 포괄하여), 각 형법 제231조(사문서 위조의 점), 각 형법  제234조, 제231조(위조사문서행사의 점), 각 형법 제347조 제1항(사기의 점)
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 배상명령 및 가집행선고
소송촉진 등에 관한 특례법 제25조 제1항, 제31조 제1항, 제2항, 제3항","특례법 25조 제1항, 형법 231조, 형법 232조, 형법 234조, 형법 347조 제1항, 형법 355조 제1항, 형법 37조, 형법 40조"
6,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조의2, 제30조, 각 징역형 선택
1. 누범가중
형법 제35조
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 배상신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제3호, 제2항, 제25조 제3항 제4호(배상신청인이 피고인으로부터 피해금의  일부 액수를 지급받고 합의하였으므로, 배상책임의 범위가 불분명하므로, 형사소송 절차에서 배상명령을 하는 것이 타당하지 아니함)
[피고인 및 변호인은, 피고인이 이 사건 범행으로 중국 법원으로부터 징역 10년을 선고받아 그 판결이 확정된 후 7년 7개월로 감형됨으로써 그 징역형의 집행을 마쳤으므로, 형법 제7조에 따라 이 사건 선고형에 위 집행된 형의 일부가 산입되어야 한다고 주장한다. 살피건대 기록에 의하면, 피고인이 보이스피싱 조직 관련 범행으로 2012. 6. 11.경 중국 공안에 검거된 사실은 인정되나 제출된 증거만으로는, 피고인의 주장과 같이 피고인이 중화인민공화국 법원으로부터 이 사건 범행에 관하여 징역  10년의 유죄판결을 선고받고 그 판결이 확정되어 총 7년 7개월의 형의 집행을 마친 사실을 인정하기 부족하고, 달리 이를 인정할 만한 증거가 없다. 따라서 피고인 및 변호인의 위 주장은 받아들이지 아니한다.]","특례법 32조 제1항 제3호, 형법 347조, 형법 35조, 형법 37조, 형법 7조"
7,"1. 범죄사실에 대한 해당법조
국민체육진흥법 제47조 제2호, 제26조 제1항, 형법 제30조(체육진흥투표권 발행 유사행위의 점), 형법 제247조, 형법 제30조(도박공간개설의 점), 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률(2020. 2. 4. 법률 제16955호로 개정되기 전의 것)    제71조 제1항 제6호, 제28조의2 제2항, 형법 제30조(영리 목적 개인정보 제공받은    점)
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
각 징역형 선택
1. 누범가중
형법 제35조
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조","국민체육진흥법 47조 제2호, 형법 247조, 형법 30조, 형법 35조, 형법 37조, 형법 40조"
8,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조(징역형 선택)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항","형법 347조 제1항, 형법 37조, 형법 62조 제1항"
9,"1. 범죄사실에 대한 해당법조 및 형의 선택
피고인들: 형법 제347조 제1항, 제30조, 징역형 선택
1. 경합범처리
피고인 B, C: 형법 제37조 후단, 제39조 제1항
1. 집행유예
피고인 B: 형법 제62조 제1항
1. 보호관찰 및 사회봉사명령
피고인 B: 형법 제62조의2","형법 347조 제1항, 형법 37조, 형법 62조, 형법 62조 제1항"
10,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조, 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항
1. 사회봉사명령
형법 제62조의2","형법 347조 제1항, 형법 37조, 형법 62조, 형법 62조 제1항"
